cartodb_id,the_geom,floor_area,_2014_energy_star_score,_2013_energy_star_score,_2012_energy_star_score,_2011_energy_star_score,property_type_self_selected,postal_code,pim_link,parcel_s,parcel2,parcel1,full_address,energy_audit_status,energy_audit_due_date,building_name,building_address,edit_energy_performance_ordinance_report_blklot,benchmark_2014_status,benchmark_2013_status,benchmark_2012_status,benchmark_2011_status,benchmark_2010_status,to_st,street,st_type,odd_even,mapblklot,lot_num,from_st,block_num,blklot,_2014_weather_normalized_source_eui_kbtu_ft2,_2014_weather_normalized_site_eui_kbtu_ft2,_2014_total_ghg_emissions_metric_tons_co2e,_2014_total_ghg_emissions_intensity_kgco2e_ft2,_2014_source_eui_kbtu_ft2,_2014_site_eui_kbtu_ft2,_2014_percent_better_than_national_median_source_eui,_2014_percent_better_than_national_median_site_eui,_2013_weather_normalized_source_eui_kbtu_ft2,_2013_weather_normalized_site_eui_kbtu_ft2,_2013_total_ghg_emissions_metric_tons_co2e,_2013_total_ghg_emissions_intensity_kgco2e_ft2,_2013_source_eui_kbtu_ft2,_2013_site_eui_kbtu_ft2,_2013_percent_better_than_national_median_source_eui,_2013_percent_better_than_national_median_site_eui,_2012_weather_normalized_source_eui_kbtu_sq_ft,_2012_weather_normalized_site_eui_kbtu_ft2,_2012_total_ghg_emissions_metric_tons_co2e,_2012_total_ghg_emissions_intensity_kgco2e_ft2,_2012_source_eui_kbtu_ft2,_2012_site_eui_kbtu_ft2,_2012_percent_better_than_national_median_source_eui,_2012_percent_better_than_national_median_site_eui,_2011_weather_normalized_source_eui_kbtu_ft2,_2011_weather_normalized_site_eui_kbtu_ft2,_2011_total_ghg_emissions_metric_tons_co2e,_2011_total_ghg_emissions_intensity_kgco2e_ft2,_2011_source_eui_kbtu_ft2,_2011_site_eui_kbtu_ft2,_2011_percent_better_than_national_median_source_eui,_2011_percent_better_than_national_median_site_eui
7,0106000020E610000001000000010300000001000000220000006763E9D4DF9A5EC02A2ABD515FE7424062F42418D49A5EC0117F2A5662E74240BADBE597D19A5EC0A7A5ECE849E7424031DA3692DB9A5EC053C9286B47E74240D057DFCDDB9A5EC072BE71EB47E74240E46094F5DB9A5EC0C299C94448E7424066E04C1CDC9A5EC062B0369F48E742403C210542DC9A5EC05542B5FA48E742405D86BA66DC9A5EC04CD9375749E742401A61698ADC9A5EC08DA4BCB449E74240AC5F10ADDC9A5EC054F13B134AE74240B081AACEDC9A5EC0183CAC724AE74240E9B337EFDC9A5EC031B707D34AE74240052EB40EDD9A5EC0E5D444344BE742408C6C1D2DDD9A5EC0E6DB5D964BE74240D11D724ADD9A5EC061194BF94BE74240DC7FAE66DD9A5EC0E6EE045D4CE742408B3AD181DD9A5EC07CBA81C14CE742406FCAD79BDD9A5EC0BBC2BB264DE74240519FBFB4DD9A5EC0CE6FA98C4DE74240EBA588CCDD9A5EC009F444F34DE74240E6152FE3DD9A5EC0B1C1845A4EE742408A9DB1F8DD9A5EC00D2661C24EE74240C91C100DDE9A5EC0E474D02A4FE742407FDE4620DE9A5EC044EECE934FE74240CDB55532DE9A5EC084074FFD4FE7424060573B43DE9A5EC020FD4A6750E74240B007F452DE9A5EC0D81FBDD150E7424074108261DE9A5EC0F8BF993C51E74240BCAFE16EDE9A5EC0063FD9A751E742407EC5127BDE9A5EC0D7F0711352E742400E381586DE9A5EC078185C7F52E742407BC2E78FDE9A5EC09AE193EB52E742406763E9D4DF9A5EC02A2ABD515FE74240,133675,56,74,81,,Office,94109,http://propertymap.sfplanning.org/?&search=0010/001,0010/001,001,0010,"2801 LEAVENWORTH ST
San Francisco, CA 94109
(37.806877, -122.418879)",Complied,11/15/12,2801 Leavenworth Street,2801 LEAVENWORTH ST,0010001,Complied,Complied,Complied,Complied,Violation - Did Not Report,600,BEACH,ST,E,0010001,001,600,0010,0010001,162.4,77.1,668.9,5,158.5,73.4,-6.5,-6.5,167.2,81.6,786.5,5.7,166.9,81.3,-26.2,-26.2,149.7,70.7,696.4,,149.9,71,,-34.5,,,,,,,,
8,0106000020E610000001000000010300000001000000220000006763E9D4DF9A5EC02A2ABD515FE742407BC2E78FDE9A5EC09AE193EB52E742400E381586DE9A5EC078185C7F52E742407EC5127BDE9A5EC0D7F0711352E74240BCAFE16EDE9A5EC0063FD9A751E7424074108261DE9A5EC0F8BF993C51E74240B007F452DE9A5EC0D81FBDD150E7424060573B43DE9A5EC020FD4A6750E74240CDB55532DE9A5EC084074FFD4FE742407FDE4620DE9A5EC044EECE934FE74240C91C100DDE9A5EC0E474D02A4FE742408A9DB1F8DD9A5EC00D2661C24EE74240E6152FE3DD9A5EC0B1C1845A4EE74240EBA588CCDD9A5EC009F444F34DE74240519FBFB4DD9A5EC0CE6FA98C4DE742406FCAD79BDD9A5EC0BBC2BB264DE742408B3AD181DD9A5EC07CBA81C14CE74240DC7FAE66DD9A5EC0E6EE045D4CE74240D11D724ADD9A5EC061194BF94BE742408C6C1D2DDD9A5EC0E6DB5D964BE74240052EB40EDD9A5EC0E5D444344BE74240E9B337EFDC9A5EC031B707D34AE74240B081AACEDC9A5EC0183CAC724AE74240AC5F10ADDC9A5EC054F13B134AE742401A61698ADC9A5EC08DA4BCB449E742405D86BA66DC9A5EC04CD9375749E742403C210542DC9A5EC05542B5FA48E7424066E04C1CDC9A5EC062B0369F48E74240E46094F5DB9A5EC0C299C94448E74240D057DFCDDB9A5EC072BE71EB47E7424031DA3692DB9A5EC053C9286B47E7424017DC7FD5E89A5EC08DFA5E1B44E7424018E58B35EB9A5EC086B3F5645CE742406763E9D4DF9A5EC02A2ABD515FE74240,180450,79,78,95,79,Hotel,94109,http://propertymap.sfplanning.org/?&search=0010/002,0010/002,002,0010,"495 Jefferson St
San Francisco, CA 94109
(37.807624, -122.420563)",Complied,4/1/14,Argonaut Hotel-SV,495 Jefferson St,0010002,Complied,Complied,Complied,Complied,Complied,680,BEACH,ST,E,0010002,002,680,0010,0010002,129.5,63.6,763.1,4.2,129.5,63.6,-26.5,-26.5,136.1,67.9,844.7,4.7,136.1,67.9,-25.3,-25.3,115.1,55.9,704.18,,115.1,55.9,,-48,,67.7,847.4,,,67.7,,-26.6
9,0106000020E6100000010000000103000000010000000500000080F04664C29A5EC01C7277B44DE74240588822C7CD9A5EC06797B8CD4AE74240A91D2249D09A5EC05B96304C63E742404B2AD1CCC49A5EC01E90FE3F66E7424080F04664C29A5EC01C7277B44DE74240,121408,,,,,Hotel,94133,http://propertymap.sfplanning.org/?&search=0011/007,0011/007,007,0011,"2800 LEAVENWORTH ST
San Francisco, CA 94133
(37.807299, -122.418972)",Complied,11/15/12,Anchorage Office,2800 LEAVENWORTH ST,0011007,Complied,Complied,Complied,Violation - Insufficient Data,Violation - Insufficient Data,580,BEACH,ST,E,0011007,007,580,0011,0011007,173.3,73.8,634.3,5.2,173.3,73.8,40.8,40.8,197.2,92.4,761.4,6.3,197.2,92.4,60.2,60.2,196.6,92.2,759.2,6.3,196.6,92.2,59.7,59.7,,,,,,,,
10,0106000020E6100000010000000103000000010000000500000080F04664C29A5EC01C7277B44DE742404B2AD1CCC49A5EC01E90FE3F66E74240DE841A0BB99A5EC06CF5994569E742406D7FF3A1B69A5EC0DB8C82B350E7424080F04664C29A5EC01C7277B44DE74240,198525,,,,,Strip Mall,94133,http://propertymap.sfplanning.org/?&search=0011/008,0011/008,008,0011,"500 BEACH ST
San Francisco, CA 94133
(37.807022, -122.417713)",Complied,4/1/13,Anchorage Garage,500 BEACH ST,0011008,Complied,Complied,Complied,Complied,Complied,550,BEACH,ST,E,0011008,008,500,0011,0011008,76.9,27.5,419.6,2.1,76.9,27.5,-67.6,-67.6,74.8,27.3,412.3,2.1,74.8,27.3,-68.5,-68.5,72.3,25.9,395.1,2,72.3,25.9,-69.6,-69.6,,0,83.82,,,0,,
11,0106000020E61000000100000001030000000100000008000000DBB3084BA29A5EC0198B012B62E742408828BB8FA49A5EC0350B5E9B61E7424077B44E93A49A5EC0F8C5C9BF61E7424002AF48CBA59A5EC0B63EB62B6EE742403312F82E9E9A5EC027D6530870E7424037BFEEEF9C9A5EC0F62675A363E74240DDC057819F9A5EC0FA5ED90063E74240DBB3084BA29A5EC0198B012B62E74240,40052,,,43,,N/A,94133,http://propertymap.sfplanning.org/?&search=0012/001,0012/001,001,0012,"2739 TAYLOR ST
San Francisco, CA 94133
(37.807895, -122.415742)",Pending,4/1/13,211 Jefferson St,2739 TAYLOR ST,0012001,Exempt - Tenant Turnover,Exempt - Tenant Turnover,Complied,Violation - Insufficient Data,Violation - Insufficient Data,229,JEFFERSON,ST,O,0012001,001,211,0012,0012001,,,,,,,,,,,,,,,,,117.5,35.2,128.05,,117.5,35.2,,8.8,,,,,,,,
18,0106000020E6100000010000000103000000010000000600000013B332C7A89A5EC068FFA7B560E7424047B775FFA99A5EC0B43971246DE7424002AF48CBA59A5EC0B63EB62B6EE7424077B44E93A49A5EC0F8C5C9BF61E742408828BB8FA49A5EC0350B5E9B61E7424013B332C7A89A5EC068FFA7B560E74240,17311,,,,,Restaurant,94133,http://propertymap.sfplanning.org/?&search=0012/007A,0012/007A,007A,0012,"243 JEFFERSON ST
San Francisco, CA 94133
(37.808125, -122.4165)",Complied,4/1/14,DiMaggio Building,243 JEFFERSON ST,0012007A,Complied,Complied,Complied,N/A,N/A,245,JEFFERSON,ST,O,0012007A,007A,235,0012,0012007A,571.3,282.5,328.3,19,579.9,285.3,34.2,34.2,599,309,348.3,20.1,598.7,308.4,38.6,38.6,,,,,,,,,,,,,,,,
21,0106000020E610000001000000010300000001000000060000007475F360919A5EC08FC4C07C66E7424053306E26909A5EC0C1B79B445AE742409E5948DA979A5EC02F0E795658E742406617D014999A5EC0E8789D8E64E742409EC8BB7A939A5EC02FD1FCF565E742407475F360919A5EC08FC4C07C66E74240,46962,38,45,72,,Office,94133,http://propertymap.sfplanning.org/?&search=0013/005,0013/005,005,0013,"2720 TAYLOR ST
San Francisco, CA 94133
(37.807512, -122.415665)",Complied,4/1/13,Savoy Corporation,2720 TAYLOR ST,0013005,Complied,Complied,Complied,Complied,Complied,380,BEACH,ST,E,0013005,005,380,0013,0013005,178.8,65.8,229.9,4.9,177,64.1,13.7,13.7,168.1,63.1,222.1,4.7,167.9,63,5.6,5.6,183.3,64.1,252.87,,184.6,65.3,,-20.5,,,,,,,,
22,0106000020E6100000010000000103000000010000000500000074E39DB9949A5EC05FF9845972E742409EC8BB7A939A5EC02FD1FCF565E742406617D014999A5EC0E8789D8E64E74240BCE9BA539A9A5EC08BDE62F270E7424074E39DB9949A5EC05FF9845972E74240,40017,,,,,N/A,94133,http://propertymap.sfplanning.org/?&search=0013/006,0013/006,006,0013,"2770 TAYLOR ST
San Francisco, CA 94133
(37.807889, -122.415741)",Did Not Comply,4/1/13,2770 TAYLOR ST,2770 TAYLOR ST,0013006,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,N/A,175,JEFFERSON,ST,O,0013006,006,175,0013,0013006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0106000020E610000001000000010300000001000000070000007BE48BA5859A5EC0230668E65CE74240A1731751869A5EC0FD11AA9063E74240D0B6211E899A5EC05432FCDC62E742408E3E17AD899A5EC096FFDF6A68E7424059EB1102829A5EC05B36C4566AE7424081D682C2809A5EC0257CE21F5EE742407BE48BA5859A5EC0230668E65CE74240,15882,,,,,N/A,94133,http://propertymap.sfplanning.org/?&search=0013/009,0013/009,009,0013,"2601 MASON ST
San Francisco, CA 94133
(37.807749, -122.414034)",Did Not Comply,4/1/13,2601 MASON ST,2601 MASON ST,0013009,Exempt - Change of Ownership,Violation - Did Not Report,Violation - Did Not Report,N/A,N/A,2621,MASON,ST,O,0013009,009,2601,0013,0013009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0106000020E610000001000000010300000001000000080000008E3E17AD899A5EC096FFDF6A68E74240DB0DE9938E9A5EC07B466E3067E74240F62EC5D28F9A5EC0B4DBBE9373E74240E628CF51859A5EC03D63113576E74240A0FA5F85849A5EC02E7DBB436EE74240B5274576829A5EC01578D0C76EE7424059EB1102829A5EC05B36C4566AE742408E3E17AD899A5EC096FFDF6A68E74240,121481,,,,,Museum,94133,http://propertymap.sfplanning.org/?&search=0013/016,0013/016,016,0013,"145 Jefferson St
San Francisco, CA 94133
(37.808359, -122.414638)",Pending,4/1/14,The Way Museum Building,145 Jefferson St.,0013016,Complied,Complied,Complied,Complied,Complied,145,JEFFERSON,ST,O,0013016,016,145,0013,0013016,296.9,116.2,1066.1,8.8,305.5,119,259,259,296.3,117.1,1041.9,8.6,296.3,117.1,248.2,248.2,323.1,118.3,1081.1,8.9,319.7,117.2,275.6,275.6,296.5,94.4,923.7,7.6,292.8,93.3,244.1,244.1
