Property_Type,ENERGY_STAR_Score,SiteEUI,SourceEUI,GHG_Emissions,GHG_Emissions_Intensity,Weather_Site_EUI,Weather_Source_EUI,Floor_Area
,,,,,,,,75035
Office,,268.3,517.2,553.9,17.5,269.9,516,31740
Other - Education,,108.1,268.3,997.3,7.8,108.2,266.3,127074
Movie Theater,,105.3,327.8,503.2,8.5,104.1,323.9,58877
Non-Refrigerated Warehouse,,16.1,42.6,235.5,1.2,16.7,43.3,195487
Office,95,36.3,99.9,238,2.8,36.9,100.6,97025
Office,,40.8,103.1,31.2,3,42.6,105,10467
,,,,,,,,12274
Office,89,55.1,158,2401,4.3,55.8,158.7,700079
,,,,,,,,29795
Office,61,43.1,97,123.9,3,,,39000
Distribution Center,,53.5,111.2,54,2.3,53.8,111.6,27897
Mixed Use Property,,38.8,106.1,178.6,2.9,38.7,104.9,60573
,,,,,,,,10640
,,,,,,,,13000
Non-Refrigerated Warehouse,,5.2,14.8,48.4,0.4,5.3,14.9,119900
Office,,76.9,126.4,202.3,4.7,79,128.6,42997
Retail Store,,27.9,87.3,37.9,2.3,27.9,87.3,28300
,,,,,,,,12756
Office,95,50.1,130.1,1063.7,3.7,51.7,131.8,286510
,,,,,,,,265413
Restaurant,,171,334.8,218.3,11.2,170.2,332.2,19500
Office,91,53.7,145.2,1449.5,4.1,53.9,145.1,420700
,,,,,,,,15800
,,,,,,,,128320
Worship Facility,97,10.4,24,27.9,0.7,10.4,24,38051
Office,63,95.2,192,499.8,6.3,94.5,189.7,94000
,,,,,,,,20295
Office,95,27.9,72.3,62,2.1,28.2,73.1,30000
,,,,,,,,55219
Other,,18.7,53.2,63.7,1.4,19.1,53.6,43974
Office,89,116.8,194.6,3878.8,7.2,116.8,194.6,571527
,,,,,,,,33549
,,,,,,,,73491
,,,,,,,,68332
College/University,,45.8,105.7,474.3,3.2,48.7,108.7,147509
,,,,,,,,30000
"Repair Services (Vehicle, Shoe, Locksmith, etc.)",,14.7,35.4,13.7,1.1,14.9,35.7,13000
Office,94,44.1,110.9,60.8,3.2,44.1,110.9,18863
Office,94,47.8,103.7,228.6,3.3,50.5,106.6,69988
,,,,,,,,16282
Office,,110.7,347.7,397.2,9,110.7,347.7,110000
Office,87,37.6,118.1,279.9,3.1,37,116.1,91299
Fitness Center/Health Club/Gym,,12.3,34.4,9.6,0.9,12.5,34.6,10149
Hotel,24,143.5,285.7,965.2,10.3,143.5,285.7,94000
Office,,61.4,136.7,293.2,4.2,63.7,139.1,69084
Office,95,27.2,70.7,113.1,2,28.5,71.6,74055
,,,,,,,,46354
Manufacturing/Industrial Plant,,384.1,731.3,870.1,24.9,381.6,723.6,35000
Hotel,46,117.1,210.7,815.6,7.4,118.8,212.5,129719
,,,,,,,,19319
Retail Store,72,88.2,266.8,75.8,7.1,88.2,266.8,10750
,,,,,,,,55785
Office,99,18.1,50.2,24.2,1.4,18.5,50.6,17734
Movie Theater,,88.3,138.8,70.7,5.3,95.1,145.9,13300
Office,94,38.2,117.8,135.1,3.1,38.3,118,43802
Office,,33,88.1,65.7,2.5,33.7,88.1,26500
Office,77,66.1,155.2,793.3,5,66.9,156.2,159330
,,,,,,,,10522
Office,88,29,80.4,38.9,2.2,30,81.4,17544
,,,,,,,,13000
Office,,45.8,83.2,57.9,2.9,45.8,83.2,19913
Office,73,60.7,124.3,123.4,4,61,123.3,30496
Office,,176.5,329.7,210.9,11.3,176.5,329.7,18600
Office,,16.1,43.3,18.7,1.2,16.3,44,15431
Supermarket/Grocery Store,24,265.5,671.6,727.7,19.4,266.8,669.5,97422
Other,,44.4,76.1,117.6,3.2,46.2,77.9,37000
Manufacturing/Industrial Plant,,39.1,88.9,32.7,2.9,39.1,88.9,11180
Hotel,50,71.8,168.8,1205.2,5.1,71.5,168,283765
Office,,63.4,117.2,65.9,4.1,66.5,120.4,16248
Office,91,58.7,139.9,1045.3,4.2,59.7,140.2,249960
Office,,,,,,,,21790
,,,,,,,,24000
,,,,,,,,94000
Office,,32.5,101.9,366.4,2.6,32,100.6,138400
Other,,1.9,2.7,19,0.1,,,169841
Office,94,55.6,135.2,1846.3,4,56.3,136,537024
Office,,30.4,89.5,285.4,2.4,30.9,89.9,119000
Office,39,72.3,174.3,149.2,5.2,72,173.1,28800
,,,,,,,,154737
,,,,,,,,89886
Distribution Center,,31.6,81.7,39.1,2.3,33.6,83.9,16710
,,,,,,,,12000
,,,,,,,,285047
,,,,,,,,32141
,,,,,,,,37000
,,,,,,,,28000
Office,87,49.5,147.9,2603.1,3.9,49.5,147.9,892240
Enclosed Mall,,157.5,292.3,769,10.1,156.8,287.9,76197
Office,73,44.1,120.8,76.1,3.4,43.8,118.7,22687
,,,,,,,,40017
,,,,,,,,55302
Office,95,43.6,112,462,3.3,44.8,113.4,139024
,,,,,,,,29328
,,,,,,,,609000
Office,,19.4,56.7,55.9,1.5,19.4,56.7,36642
,,,,,,,,16295
Retail Store,21,159.5,492,244.7,12.9,159.5,492,18990
,,,,,,,,10500
,,,,,,,,15406
,,,,,,,,15460
,,,,,,,,24279
Worship Facility,98,9.4,17.2,33.9,0.6,10.1,17.9,56455
Hotel,18,40.8,95.4,370,2.9,41.8,96.4,128335
Office,46,68.7,215.8,231.3,5.6,68.7,215.8,46879
Worship Facility,86,15.5,33.1,17.2,1.1,16.5,34.2,16327
,,,,,,,,21119
,,,,,,,,15145
,,,,,,,,16075
College/University,,13,27.7,24.6,0.9,,,27912
,,,,,,,,20986
Office,87,33.1,84.4,65.2,2.4,34.1,85.5,26808
,,,,,,,,110748
Office,64,54.6,157.8,86.5,4.3,54.8,156.5,20280
Other,,34.4,57.8,64.1,2.1,37,60.5,30226
,,,,,,,,30000
Worship Facility,75,28.6,54.8,68.1,1.9,29.9,56.2,36672
Non-Refrigerated Warehouse,100,2.3,7.3,11.5,0.2,2.7,8.5,60158
,,,,,,,,10911
Office,74,52.9,136.2,87.6,3.9,53.3,136.1,34875
,,,,,,,,69100
